181
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|RAC|JAMK|AMLO|JHRC|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
15|33|1060|C|2|0|1|683|26|1|176|Estrato 176|0||34|42|79|22|4|14|14|0|158|17|4|1|2|0|0|2|0|0|6|7|0|2|0|9|393|85|85|204|10|2018|7|1|18|54|22|1|N
15|36|5930|B|1|0|3|135|123|9|179|Estrato 179|0||137|1|44|23|0|1|0|0|25|1|0|1|0|1|0|0|0|0|0|0|0|2|0|4|103|26|44|29|0|2018|7|1|19|13|6|1|N
15|41|6279|B|1|0|1|406|82|33|184|Estrato 184|0||93|27|61|0|0|13|1|0|150|2|2|0|0|0|0|0|0|0|7|0|0|0|0|5|281|30|61|172|13|2018|7|1|18|53|45|1|N
16|1|177|E|1|0|3|114|10|22|185|Estrato 185|0||74|6|11|6|5|1|1|8|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|72|13|24|32|0|2018|7|1|18|56|31|1|N
16|2|763|C|1|0|1|405|46|2|186|Estrato 186|0||61|14|33|18|24|34|2|1|102|7|3|0|0|0|7|1|0|0|0|9|0|0|0|9|274|37|66|152|10|2018|7|1|19|7|36|1|N
16|2|770|B|1|0|3|515|46|2|186|Estrato 186|0||60|24|56|65|55|24|2|2|43|3|2|0|0|1|1|2|0|0|6|1|0|3|0|31|326|94|116|80|5|2018|7|1|19|9|19|1|N
16|2|1636|C|1|0|3|554|72|2|186|Estrato 186|0||94|19|73|19|3|22|5|0|15|0|0|3|0|0|1|0|0|0|0|2|0|0|1|8|178|46|77|39|7|2018|7|1|19|22|12|1|N
16|4|1750|B|1|0|1|577|77|4|188|Estrato 188|0||105|129|23|6|0|15|2|1|152|4|3|0|0|0|0|0|0|0|6|0|0|0|0|11|384|140|24|177|32|2018|7|1|19|21|13|1|N
16|5|1581|B|1|0|3|276|70|1|189|Estrato 189|0||17|57|30|8|0|9|3|4|43|2|1|0|0|0|0|0|0|0|0|0|0|0|0|4|161|69|34|54|0|2018|7|1|18|53|43|1|N
16|6|494|C|2|0|1|628|34|12|190|Estrato 190|0||31|55|32|9|7|36|6|1|136|0|5|0|0|0|2|0|1|0|6|3|0|0|3|10|369|75|43|181|57|2018|7|1|18|58|40|1|N
